Project Name,Java File,Line No.,Abbreviation2BeTested,EnclosingIdentifier,Contexts,Type of Identifiers,Full Terms,URL,Necessity4Expansion(manual Label),Necessity4Expansion(Prediction),Java Command 2 Test This Item
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\AbstractGlobalModel.java,1034,rem,remAuxFile,rem#aux#file,methodName,remove,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/AbstractGlobalModel.java#L1034,1,1,java FindCasualNames.main.smartExpander rem remAuxFile rem#aux#file methodName remove drjava
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\contentobjects\jnotify\linux\JNotifyAdapterLinux.java,562,num,unitTest_getNumWatches,unit#test#get#num#watches,methodName,number,https://github.com/vivainio/docfetcher/blob/master/src/net/contentobjects/jnotify/linux/JNotifyAdapterLinux.java#L562,0,0,java FindCasualNames.main.smartExpander num unitTest_getNumWatches unit#test#get#num#watches methodName number docfetcher
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\config\RecursiveFileListProperty.java,85,f,f,file#remove#excluded,parameterName,file,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/config/RecursiveFileListProperty.java#L85,0,0,java FindCasualNames.main.smartExpander f f file#remove#excluded parameterName file drjava
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\compiler\src\main\java\org\apache\dubbo\gen\AbstractGenerator.java,192,ctx,ctx,context#service#absolute#file#name,parameterName,context,https://github.com/apache/dubbo/blob/master/compiler/src/main/java/org/apache/dubbo/gen/AbstractGenerator.java#L192,0,0,java FindCasualNames.main.smartExpander ctx ctx context#service#absolute#file#name parameterName context dubbo
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\bytecode\CustomizedLoaderClassPath.java,65,cl,cl,classloader,variableName,classloader,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/bytecode/CustomizedLoaderClassPath.java#L65,0,0,java FindCasualNames.main.smartExpander cl cl classloader variableName classloader dubbo
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\config\DrJavaPropertySetup.java,929,sep,sep,string#value,parameterName,string escape,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/config/DrJavaPropertySetup.java#L929,1,1,java FindCasualNames.main.smartExpander sep sep string#value parameterName string escape drjava
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\archive\jsmooth-0.9.9-7-patch\src\net\charabia\util\codec\IcoCodec.java,158,w,w,int#img#get#width,variableName,width,https://github.com/mguessan/davmail/blob/master/archive/jsmooth-0.9.9-7-patch/src/net/charabia/util/codec/IcoCodec.java#L158,0,0,java FindCasualNames.main.smartExpander w w int#img#get#width variableName width davmail
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\config\DrJavaPropertySetup.java,1079,pm,pm,property#maps#update,parameterName,property maps,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/config/DrJavaPropertySetup.java#L1079,0,0,java FindCasualNames.main.smartExpander pm pm property#maps#update parameterName property maps drjava
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\gui\indexing\RegexTestPanel.java,59,bt,fileChooserBt,button#file#chooser#util,variableName,button,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/gui/indexing/RegexTestPanel.java#L59,0,0,java FindCasualNames.main.smartExpander bt fileChooserBt button#file#chooser#util variableName button docfetcher
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\config\ResourceBundleConfiguration.java,62,str,str,string#bundle#get#name,variableName,string,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/config/ResourceBundleConfiguration.java#L62,0,0,java FindCasualNames.main.smartExpander str str string#bundle#get#name variableName string drjava
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\AbstractOptionPane.java,127,comp,comp,new#label#string#component,parameterName,component,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/AbstractOptionPane.java#L127,0,0,java FindCasualNames.main.smartExpander comp comp new#label#string#component parameterName component jedit
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\exchange\ews\RecurrenceFieldUpdate.java,38,cal,calDayToDayOfWeek,day#to#of#week,variableName,calculate,https://github.com/mguessan/davmail/blob/master/src/java/davmail/exchange/ews/RecurrenceFieldUpdate.java#L38,0,1,java FindCasualNames.main.smartExpander cal calDayToDayOfWeek day#to#of#week variableName calculate davmail
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\debug\jpda\EventHandlerThread.java,105,de,de,disconnected#exception,variableName,disconnected exception,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/debug/jpda/EventHandlerThread.java#L105,0,0,java FindCasualNames.main.smartExpander de de disconnected#exception variableName disconnected exception drjava
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\bsh\classpath\ClassManagerImpl.java,389,cl,cl,class#loader#discrete#files#class#loader,variableName,class loader,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/bsh/classpath/ClassManagerImpl.java#L389,0,0,java FindCasualNames.main.smartExpander cl cl class#loader#discrete#files#class#loader variableName class loader jedit
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\extension\support\WrapperComparator.java,32,o,o2,object#o1#compare,parameterName,object,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/extension/support/WrapperComparator.java#L32,0,0,java FindCasualNames.main.smartExpander o o2 object#o1#compare parameterName object dubbo
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-config\dubbo-config-spring\src\main\java\org\apache\dubbo\config\spring\schema\DubboBeanDefinitionParser.java,208,ref,refBean,bean#definition#parser#context#registry,variableName,reference,https://github.com/apache/dubbo/blob/master/dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/schema/DubboBeanDefinitionParser.java#L208,0,0,java FindCasualNames.main.smartExpander ref refBean bean#definition#parser#context#registry variableName reference dubbo
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\json\Yylex.java,456,num,numRead,int#reader,variableName,number,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/json/Yylex.java#L456,0,0,java FindCasualNames.main.smartExpander num numRead int#reader variableName number dubbo
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\net\sourceforge\jarbundler\JarBundler.java,1301,p,p,project#fl#get#project,variableName,project,https://github.com/romuloceccon/jedit/blob/master/net/sourceforge/jarbundler/JarBundler.java#L1301,0,0,java FindCasualNames.main.smartExpander p p project#fl#get#project variableName project jedit
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\AbstractGlobalModel.java,3852,prev,findPrevEnclosingBrace,int#opening#closing#find#prev#enclosing#barce,methodName,previous,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/AbstractGlobalModel.java#L3852,0,0,java FindCasualNames.main.smartExpander prev findPrevEnclosingBrace int#opening#closing#find#prev#enclosing#barce methodName previous drjava
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\config\ConfigOptionListeners.java,110,nfe,nfe,number#format#exception,variableName,number format exception,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/config/ConfigOptionListeners.java#L110,0,0,java FindCasualNames.main.smartExpander nfe nfe number#format#exception variableName number format exception drjava
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\http\DavGatewayX509TrustManager.java,148,rdn,getRDN,string#principal,methodName,Relative Distinguished Name,https://github.com/mguessan/davmail/blob/master/src/java/davmail/http/DavGatewayX509TrustManager.java#L148,1,1,java FindCasualNames.main.smartExpander rdn getRDN string#principal methodName Relative Distinguished Name davmail
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\model\IndexRegistry.java,460,ser,serFile,file#index#dir#filename,variableName,serialization,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/model/IndexRegistry.java#L460,1,1,java FindCasualNames.main.smartExpander ser serFile file#index#dir#filename variableName serialization docfetcher
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\definitions\DefinitionsEditorKit.java,160,ble,ble,catch#bad#location#exception,variableName,bad location exception,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/definitions/DefinitionsEditorKit.java#L160,0,0,java FindCasualNames.main.smartExpander ble ble catch#bad#location#exception variableName bad location exception drjava
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\contentobjects\jnotify\linux\JNotify_linux.java,211,msg,msg,string#debug,parameterName,message,https://github.com/vivainio/docfetcher/blob/master/src/net/contentobjects/jnotify/linux/JNotify_linux.java#L211,0,0,java FindCasualNames.main.smartExpander msg msg string#debug parameterName message docfetcher
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\test\java\org\apache\dubbo\common\extension\activate\ActivateExt1.java,23,ext,ActivateExt1,interface#activate#ext,className,extension,https://github.com/apache/dubbo/blob/master/dubbo-common/src/test/java/org/apache/dubbo/common/extension/activate/ActivateExt1.java#L23,1,1,java FindCasualNames.main.smartExpander ext ActivateExt1 interface#activate#ext className extension dubbo
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\gui\preview\HighlightingText.java,122,rgb,rgb,int#setting#conf#int#array,variableName,red green blue,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/gui/preview/HighlightingText.java#L122,1,1,java FindCasualNames.main.smartExpander rgb rgb int#setting#conf#int#array variableName red green blue docfetcher
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\config\BooleanOption.java,40,def,def,boolean#key#boolean#option,parameterName,definition,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/config/BooleanOption.java#L40,0,0,java FindCasualNames.main.smartExpander def def boolean#key#boolean#option parameterName definition drjava
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\definitions\DefinitionsEditorKit.java,169,b,b,boolean#nm#end#word#action,parameterName,boolean,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/definitions/DefinitionsEditorKit.java#L169,0,0,java FindCasualNames.main.smartExpander b b boolean#nm#end#word#action parameterName boolean drjava
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\caldav\CaldavConnection.java,384,v,getVCardVersion,get#card#version#request,methodName,version,https://github.com/mguessan/davmail/blob/master/src/java/davmail/caldav/CaldavConnection.java#L384,0,0,java FindCasualNames.main.smartExpander v getVCardVersion get#card#version#request methodName version davmail
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\util\ConfLoader.java,47,str,str,string#load,parameterName,string,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/util/ConfLoader.java#L47,0,0,java FindCasualNames.main.smartExpander str str string#load parameterName string docfetcher
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\bsh\commands\dir.java,67,d,d,date#last#modified,variableName,date,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/bsh/commands/dir.java#L67,0,0,java FindCasualNames.main.smartExpander d d date#last#modified variableName date jedit
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\de\masters_of_disaster\ant\tasks\ar\ArOutputStream.java,26,curr,currBytes,int#bytes,variableName,current,https://github.com/romuloceccon/jedit/blob/master/de/masters_of_disaster/ant/tasks/ar/ArOutputStream.java#L26,0,0,java FindCasualNames.main.smartExpander curr currBytes int#bytes variableName current jedit
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\buffer\ContentManager.java,144,len,len,int#len#str#length,variableName,length,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/buffer/ContentManager.java#L144,0,0,java FindCasualNames.main.smartExpander len len int#len#str#length variableName length jedit
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\test\davmail\exchange\TestExchangeSessionContact.java,99,baos,baos,byte#array#output#stream,variableName,byte array output stream,https://github.com/mguessan/davmail/blob/master/src/test/davmail/exchange/TestExchangeSessionContact.java#L99,0,0,java FindCasualNames.main.smartExpander baos baos byte#array#output#stream variableName byte array output stream davmail
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\compiler\src\main\java\org\apache\dubbo\gen\AbstractGenerator.java,272,s,s,string#builder,variableName,string,https://github.com/apache/dubbo/blob/master/compiler/src/main/java/org/apache/dubbo/gen/AbstractGenerator.java#L272,0,0,java FindCasualNames.main.smartExpander s s string#builder variableName string dubbo
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\browser\VFSBrowser.java,264,dwm,dwm,dockable#window#manager#view,variableName,dockable window manager,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/browser/VFSBrowser.java#L264,0,0,java FindCasualNames.main.smartExpander dwm dwm dockable#window#manager#view variableName dockable window manager jedit
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\utils\ReflectUtils.java,156,cls,cls,class#is#primitives#boolean,parameterName,class,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/utils/ReflectUtils.java#L156,0,0,java FindCasualNames.main.smartExpander cls cls class#is#primitives#boolean parameterName class dubbo
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\ldap\HexDumpEncoder.java,96,buf,buf,byte#encode#atom#off,parameterName,buffer,https://github.com/mguessan/davmail/blob/master/src/java/davmail/ldap/HexDumpEncoder.java#L96,0,0,java FindCasualNames.main.smartExpander buf buf byte#encode#atom#off parameterName buffer davmail
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\installer\CBZip2InputStream.java,857,tmp,tmp,char,variableName,temporary,https://github.com/romuloceccon/jedit/blob/master/installer/CBZip2InputStream.java#L857,0,0,java FindCasualNames.main.smartExpander tmp tmp char variableName temporary jedit
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\ldap\BerEncoder.java,362,len,len,int#encode#length#exception,parameterName,length,https://github.com/mguessan/davmail/blob/master/src/java/davmail/ldap/BerEncoder.java#L362,0,0,java FindCasualNames.main.smartExpander len len int#encode#length#exception parameterName length davmail
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\URL.java,1932,l,l,long#parse#value,variableName,long,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/URL.java#L1932,0,0,java FindCasualNames.main.smartExpander l l long#parse#value variableName long dubbo
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\browser\BrowserCommandsMenu.java,243,grp,grp,button#group,variableName,group,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/browser/BrowserCommandsMenu.java#L243,0,0,java FindCasualNames.main.smartExpander grp grp button#group variableName group jedit
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\model\search\Searcher.java,425,uid,uid,string#unique#id,variableName,unique id,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/model/search/Searcher.java#L425,0,0,java FindCasualNames.main.smartExpander uid uid string#unique#id variableName unique id docfetcher
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\model\UtilModel.java,131,i,i,int,forVariableName,index,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/model/UtilModel.java#L131,0,0,java FindCasualNames.main.smartExpander i i int forVariableName index docfetcher
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\extension\ExtensionLoader.java,874,t,t,throwable#catch,variableName,throwable,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/extension/ExtensionLoader.java#L874,0,0,java FindCasualNames.main.smartExpander t t throwable#catch variableName throwable dubbo
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\gui\preview\HighlightingText.java,334,dist,dist,int#line#pixel#bottom,variableName,distance,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/gui/preview/HighlightingText.java#L334,0,0,java FindCasualNames.main.smartExpander dist dist int#line#pixel#bottom variableName distance docfetcher
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\exchange\dav\DavExchangeSession.java,333,cmd,getCmdBasePath,string#get#cmd#base#path,methodName,command,https://github.com/mguessan/davmail/blob/master/src/java/davmail/exchange/dav/DavExchangeSession.java#L333,0,0,java FindCasualNames.main.smartExpander cmd getCmdBasePath string#get#cmd#base#path methodName command davmail
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\installer\CBZip2OutputStream.java,504,f,f,output#stream#bs#set#stream,parameterName,file,https://github.com/romuloceccon/jedit/blob/master/installer/CBZip2OutputStream.java#L504,1,1,java FindCasualNames.main.smartExpander f f output#stream#bs#set#stream parameterName file jedit
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\http\KerberosHelper.java,200,init,internalInitSecContext,object#internal#sec#context#protocol#host#token,methodName,initialize,https://github.com/mguessan/davmail/blob/master/src/java/davmail/http/KerberosHelper.java#L200,0,0,java FindCasualNames.main.smartExpander init internalInitSecContext object#internal#sec#context#protocol#host#token methodName initialize davmail
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\URL.java,1517,inf,inf,string#utils#service#interface,variableName,interface,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/URL.java#L1517,0,0,java FindCasualNames.main.smartExpander inf inf string#utils#service#interface variableName interface dubbo
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\exchange\dav\ExchangePropPatchMethod.java,76,baos,baos,byte#array#output#stream,variableName,byte array output stream,https://github.com/mguessan/davmail/blob/master/src/java/davmail/exchange/dav/ExchangePropPatchMethod.java#L76,0,0,java FindCasualNames.main.smartExpander baos baos byte#array#output#stream variableName byte array output stream davmail
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\test\java\org\apache\dubbo\common\threadlocal\NamedInternalThreadFactoryTest.java,28,t,t,thread#named#internal#thread#factory,variableName,thread,https://github.com/apache/dubbo/blob/master/dubbo-common/src/test/java/org/apache/dubbo/common/threadlocal/NamedInternalThreadFactoryTest.java#L28,0,0,java FindCasualNames.main.smartExpander t t thread#named#internal#thread#factory variableName thread dubbo
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\caldav\CaldavConnection.java,1243,http,sendHttpResponse,send#response#status#io#exception,methodName,hypertext transfer protocol,https://github.com/mguessan/davmail/blob/master/src/java/davmail/caldav/CaldavConnection.java#L1243,0,0,java FindCasualNames.main.smartExpander http sendHttpResponse send#response#status#io#exception methodName hypertext transfer protocol davmail
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\config\DrJavaPropertySetup.java,1108,v,v,string#values,forVariableName,value,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/config/DrJavaPropertySetup.java#L1108,0,0,java FindCasualNames.main.smartExpander v v string#values forVariableName value drjava
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\gui\KeyCodeTranslator.java,20,swt,swtModifiers,int#swt#modifiers,parameterName,swingwt,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/gui/KeyCodeTranslator.java#L20,1,1,java FindCasualNames.main.smartExpander swt swtModifiers int#swt#modifiers parameterName swingwt docfetcher
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\DrJavaRoot.java,187,t,t,catch#throwable,variableName,throwable,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/DrJavaRoot.java#L187,0,0,java FindCasualNames.main.smartExpander t t catch#throwable variableName throwable drjava
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\AbstractDJDocument.java,996,sel,selEnd,int#sel#start#reason#progress#monitor,parameterName,select,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/AbstractDJDocument.java#L996,1,1,java FindCasualNames.main.smartExpander sel selEnd int#sel#start#reason#progress#monitor parameterName select drjava
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\net\sourceforge\jarbundler\JarBundler.java,1300,fl,fl,file#list#exec#iter,variableName,file list,https://github.com/romuloceccon/jedit/blob/master/net/sourceforge/jarbundler/JarBundler.java#L1300,0,0,java FindCasualNames.main.smartExpander fl fl file#list#exec#iter variableName file list jedit
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\model\index\file\SolidArchiveTree.java,300,ext,htmlExt,string#program#conf#str#list#extensions,forVariableName,extensions,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/model/index/file/SolidArchiveTree.java#L300,0,0,java FindCasualNames.main.smartExpander ext htmlExt string#program#conf#str#list#extensions forVariableName extensions docfetcher
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\AbstractGlobalModel.java,2577,e,e,catch#invalid#package#exception,variableName,exception,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/AbstractGlobalModel.java#L2577,0,0,java FindCasualNames.main.smartExpander e e catch#invalid#package#exception variableName exception drjava
